                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6809,                 2.7906,                 1.2883,                0.00357,                0.91954,                0.60265,                0.29831,                 1.5147,                 2.9631,                 1.0818,                0.00042,                0.00042,                0.00042
                      2,                 1.5467,                 1.5591,                 1.1379,                0.85385,                0.06737,                0.47566,                0.25814,                   1.49,                  2.886,                 1.0975,             0.00081743,             0.00081743,             0.00081743
                      3,                 1.5721,                 1.4721,                 1.1836,                0.96246,                 0.2948,                0.47426,                0.24534,                 1.5793,                 2.5395,                 1.2239,              0.0011713,              0.0011713,              0.0011713
                      4,                 1.5602,                 1.3913,                 1.1748,                0.38707,                0.22989,                0.20857,                0.08736,                 1.6536,                 2.7471,                 1.4169,              0.0014816,              0.0014816,              0.0014816
                      5,                 1.5752,                 1.3311,                 1.2199,                0.50077,                0.34483,                0.37428,                0.17981,                 1.6022,                 2.3484,                 1.4409,               0.001604,               0.001604,               0.001604
                      6,                 1.4607,                 1.2682,                  1.172,                0.70241,                 0.7054,                0.72899,                0.38029,                 1.5366,                 1.4114,                 1.3618,               0.001604,               0.001604,               0.001604
                      7,                 1.5106,                 1.1867,                 1.2276,                0.80881,                0.64368,                0.73288,                0.38153,                 1.5392,                 1.4164,                 1.3129,               0.001505,               0.001505,               0.001505
                      8,                 1.4445,                 1.1511,                 1.1461,                0.76771,                0.71264,                 0.7659,                0.35624,                  1.574,                 1.2657,                 1.2478,               0.001406,               0.001406,               0.001406
                      9,                 1.4194,                  1.108,                 1.1684,                0.60386,                0.77011,                0.65224,                0.36747,                 1.4447,                 1.4318,                 1.1986,               0.001307,               0.001307,               0.001307
                     10,                 1.4059,                 1.0806,                 1.1584,                0.72935,                0.78161,                0.72229,                0.38456,                 1.4407,                  1.501,                 1.1721,               0.001208,               0.001208,               0.001208
                     11,                 1.4472,                 1.1948,                 1.1534,                0.77323,                0.77011,                0.82757,                0.47465,                 1.4158,                 1.1554,                 1.1636,               0.001109,               0.001109,               0.001109
                     12,                 1.4057,                  1.094,                 1.1611,                 0.9061,                 0.7764,                0.84479,                0.46056,                 1.4815,                 1.2052,                 1.2138,                0.00101,                0.00101,                0.00101
                     13,                 1.3592,                 1.0025,                 1.1485,                0.87342,                0.78161,                0.84278,                0.47567,                 1.4423,                 1.0796,                 1.1886,               0.000911,               0.000911,               0.000911
                     14,                 1.3267,                0.98874,                 1.1097,                0.79852,                0.86558,                0.88113,                0.50574,                 1.4074,                 1.0271,                 1.1882,               0.000812,               0.000812,               0.000812
                     15,                 1.3181,                0.92344,                 1.1187,                0.85187,                 0.7932,                0.85612,                0.47328,                 1.5049,                0.96328,                 1.2044,               0.000713,               0.000713,               0.000713
                     16,                 1.2794,                0.94203,                 1.1301,                0.82231,                 0.7979,                0.86005,                0.48678,                 1.4875,                0.95446,                  1.165,               0.000614,               0.000614,               0.000614
                     17,                 1.2825,                0.89314,                 1.0895,                 0.7791,                0.81083,                0.83229,                0.48644,                 1.4157,                0.95884,                 1.1395,               0.000515,               0.000515,               0.000515
                     18,                  1.242,                0.87685,                 1.0984,                0.84086,                0.86207,                0.89194,                0.50068,                 1.3982,                0.90142,                 1.1583,               0.000416,               0.000416,               0.000416
                     19,                  1.202,                 0.8243,                 1.0718,                0.86013,                0.87356,                0.90124,                0.51434,                 1.3486,                0.86668,                 1.1553,               0.000317,               0.000317,               0.000317
                     20,                 1.1856,                0.78787,                 1.0509,                 0.8726,                  0.866,                0.90293,                0.51952,                 1.3591,                0.81857,                 1.1555,               0.000218,               0.000218,               0.000218
